iter	Passed	Remaining
608	11538	7407
609	11546	7382
610	11554	7356
611	11562	7330
612	11569	7304
613	11577	7278
614	11585	7252
615	11593	7227
616	11602	7202
617	11611	7177
618	11620	7152
619	11630	7128
620	11639	7103
621	11648	7078
622	11655	7053
623	11663	7027
624	11670	7002
625	11678	6977
626	11686	6952
627	11693	6926
628	11701	6901
629	11709	6876
630	11717	6852
631	11726	6828
632	11734	6803
633	11743	6779
634	11751	6754
635	11758	6729
636	11766	6705
637	11774	6681
638	11782	6656
639	11791	6632
640	11800	6608
641	11810	6585
642	11819	6562
643	11827	6538
644	11834	6513
645	11841	6489
646	11849	6464
647	11856	6440
648	11865	6417
649	11873	6393
650	11883	6370
651	11893	6348
652	11905	6326
653	11921	6307
654	11930	6284
655	11938	6260
656	11948	6238
657	11956	6214
658	11964	6191
659	11972	6167
660	11980	6144
661	11996	6124
662	12018	6108
663	12051	6098
664	12065	6078
665	12084	6060
666	12101	6041
667	12112	6019
668	12128	6000
669	12138	5978
670	12152	5958
671	12165	5937
672	12185	5920
673	12208	5905
674	12231	5889
675	12248	5870
676	12290	5863
677	12341	5861
678	12356	5841
679	12368	5820
680	12382	5800
681	12392	5778
682	12402	5756
683	12411	5734
684	12421	5712
685	12433	5690
686	12442	5669
687	12453	5647
688	12464	5626
689	12476	5605
690	12487	5584
691	12496	5562
692	12506	5540
693	12514	5518
694	12524	5496
695	12538	5476
696	12547	5454
697	12558	5433
698	12570	5413
699	12580	5391
700	12588	5369
701	12597	5347
702	12605	5325
703	12613	5303
704	12623	5282
705	12632	5260
706	12641	5239
707	12654	5219
708	12667	5199
709	12677	5178
710	12689	5157
711	12699	5136
712	12710	5116
713	12720	5095
714	12733	5075
715	12747	5056
716	12759	5036
717	12770	5015
718	12781	4995
719	12791	4974
720	12801	4953
721	12812	4933
722	12824	4913
723	12837	4893
724	12851	4874
725	12861	4854
726	12870	4833
727	12881	4812
728	12891	4792
729	12901	4771
730	12912	4751
731	12925	4732
732	12982	4729
733	13035	4723
734	13049	4704
735	13069	4688
736	13087	4670
737	13106	4652
738	13122	4634
739	13134	4614
740	13146	4595
741	13158	4575
742	13169	4555
743	13184	4536
744	13201	4518
745	13218	4500
746	13231	4481
747	13247	4463
748	13261	4444
749	13276	4425
750	13287	4405
751	13299	4386
752	13308	4365
753	13317	4345
754	13328	4325
755	13343	4306
756	13357	4287
757	13374	4269
758	13391	4252
759	13407	4233
760	13420	4214
761	13432	4195
762	13447	4177
763	13458	4157
764	13475	4139
765	13489	4120
766	13504	4102
767	13515	4082
768	13526	4063
769	13537	4043
770	13548	4024
771	13558	4004
772	13569	3984
773	13584	3966
774	13596	3947
775	13607	3927
776	13617	3908
777	13627	3888
778	13638	3869
779	13650	3850
780	13659	3830
781	13669	3810
782	13681	3791
783	13692	3772
784	13704	3753
785	13714	3734
786	13724	3714
787	13736	3695
788	13746	3676
789	13757	3657
790	13782	3641
791	13798	3623
792	13812	3605
793	13823	3586
794	13835	3567
795	13850	3549
796	13864	3531
797	13873	3511
798	13884	3492
799	13893	3473
800	13904	3454
801	13912	3434
802	13923	3415
803	13933	3396
804	13943	3377
805	13951	3358
806	13963	3339
807	13973	3320
808	13983	3301
809	13992	3282
810	14002	3263
811	14011	3244
812	14022	3225
813	14033	3206
814	14043	3187
815	14055	3169
816	14065	3150
817	14075	3131
818	14085	3112
819	14093	3093
820	14102	3074
821	14111	3055
822	14127	3038
823	14140	3020
824	14152	3001
825	14161	2983
826	14173	2964
827	14183	2946
828	14194	2927
829	14203	2909
830	14214	2890
831	14224	2872
832	14234	2853
833	14242	2834
834	14250	2816
835	14258	2797
836	14268	2778
837	14275	2759
838	14283	2740
839	14291	2722
840	14300	2703
841	14310	2685
842	14319	2666
843	14329	2648
844	14338	2630
845	14346	2611
846	14354	2592
847	14362	2574
848	14370	2555
849	14379	2537
850	14386	2518
851	14394	2500
852	14403	2482
853	14410	2463
854	14418	2445
855	14425	2426
856	14432	2408
857	14439	2389
858	14446	2371
859	14454	2352
860	14461	2334
861	14469	2316
862	14477	2298
863	14485	2280
864	14491	2261
865	14500	2243
866	14509	2225
867	14517	2207
868	14526	2189
869	14535	2172
870	14543	2154
871	14553	2136
872	14562	2118
873	14571	2100
874	14579	2082
875	14588	2064
876	14596	2047
877	14606	2029
